nama,posisi,ttl,value,klub
Frets Butuan,Sayap Kiri,4 Jun 1996 (26),"Rp3,48Mlyr.",PERSIB Bandung
Erwin Ramdani,Sayap Kiri,11 Mar 1993 (29),"Rp2,17Mlyr.",PERSIB Bandung
Ridwan Ansori,Sayap Kiri,13 Feb 2004 (18),"Rp434,54Jt.",PERSIB Bandung
Ciro Alves,Sayap Kanan,18 Apr 1989 (33),"Rp6,52Mlyr.",PERSIB Bandung
Febri Hariyadi,Sayap Kanan,19 Feb 1996 (26),"Rp3,91Mlyr.",PERSIB Bandung
Ferdiansyah,Sayap Kanan,15 Jul 2003 (19),"Rp1,30Mlyr.",PERSIB Bandung
Arsan Makarin,Sayap Kanan,8 Feb 2001 (21),"Rp434,54Jt.",PERSIB Bandung
David da Silva,Depan-Tengah,12 Nov 1989 (33),"Rp3,91Mlyr.",PERSIB Bandung
Joko Ribowo,Kiper,15 Mar 1989 (33),"Rp1,74Mlyr.",PS Barito Putera
Adhitya Harlan,Kiper,17 Jun 1987 (35),"Rp1,30Mlyr.",PS Barito Putera
Yogi Hermawan,Kiper,16 Jan 2003 (19),"Rp869,08Jt.",PS Barito Putera
Norhalid,Kiper,14 Jun 1997 (25),"Rp434,54Jt.",PS Barito Putera
Renan Alves,Bek-Tengah,17 Des 1992 (30),"Rp4,78Mlyr.",PS Barito Putera
Donny Monim,Bek-Tengah,3 Mei 1993 (29),"Rp2,17Mlyr.",PS Barito Putera
Muhamad Firly,Bek-Tengah,16 Jul 1999 (23),"Rp1,30Mlyr.",PS Barito Putera
Yuswanto Aditya,Bek-Tengah,10 Mei 2000 (22),"Rp434,54Jt.",PS Barito Putera
Muhammad Helmi,Bek-Tengah,2 Jun 2000 (22),"Rp173,82Jt.",PS Barito Putera
Frank Sokoy,Bek-Kiri,16 Jul 1997 (25),"Rp1,74Mlyr.",PS Barito Putera
Rendy Saputra,Bek-Kiri,16 Sep 1989 (33),"Rp434,54Jt.",PS Barito Putera
Bagas Kaffa,Bek-Kanan,16 Jan 2002 (20),"Rp3,91Mlyr.",PS Barito Putera
Nazar Nurzaidin,Bek-Kanan,24 Mei 1995 (27),"Rp1,30Mlyr.",PS Barito Putera
Dendi Maulana,Bek-Kanan,19 Agt 1994 (28),"Rp1,30Mlyr.",PS Barito Putera
Erik Sokoy,Bek-Kanan,13 Sep 1994 (28),"Rp434,54Jt.",PS Barito Putera
Bayu Pradana,Gel. Bertahan,19 Apr 1991 (31),"Rp3,04Mlyr.",PS Barito Putera
Luthfi Kamal,Gel. Bertahan,20 Jan 1999 (23),"Rp3,04Mlyr.",PS Barito Putera
Rafi Syarahil,Gel. Bertahan,15 Nov 2000 (22),"Rp1,74Mlyr.",PS Barito Putera
Ferdiansyah,Gel. Bertahan,24 Apr 2000 (22),"Rp1,30Mlyr.",PS Barito Putera
Iqbal Gwijangge,Gel. Bertahan,28 Agt 2006 (16),,PS Barito Putera
Aditiya Daffa,Gel. Tengah,11 Jan 2004 (18),"Rp434,54Jt.",PS Barito Putera
Mike Ott,Gel. Serang,2 Mar 1995 (27),"Rp3,91Mlyr.",PS Barito Putera
Ryota Noma,Gel. Serang,15 Nov 1991 (31),"Rp3,48Mlyr.",PS Barito Putera
Buyung Ismu Lessy,Gel. Serang,8 Mei 1999 (23),"Rp1,30Mlyr.",PS Barito Putera
Reza Zuhro,Gel. Serang,- (-),,PS Barito Putera
Rafinha,Sayap Kiri,26 Apr 1990 (32),"Rp3,04Mlyr.",PS Barito Putera
Slamet Budiono,Sayap Kiri,15 Mei 1995 (27),"Rp3,04Mlyr.",PS Barito Putera
Rizky Pora,Sayap Kiri,22 Nov 1989 (33),"Rp2,61Mlyr.",PS Barito Putera
Ambrizal Umanailo,Sayap Kanan,12 Jun 1996 (26),"Rp2,17Mlyr.",PS Barito Putera
Dedi Hartono,Sayap Kanan,12 Nov 1987 (35),"Rp1,74Mlyr.",PS Barito Putera
Rafael Silva,Depan-Tengah,8 Okt 1990 (32),"Rp3,48Mlyr.",PS Barito Putera
Afdal Yusra,Depan-Tengah,4 Mei 1998 (24),"Rp1,74Mlyr.",PS Barito Putera
Kahar Muzakkar,Depan-Tengah,5 Mei 1999 (23),"Rp869,08Jt.",PS Barito Putera
Riski Kurniawan,Depan-Tengah,22 Nov 1999 (23),"Rp434,54Jt.",PS Barito Putera
Rahmat Beri Santoso,Depan-Tengah,2 Feb 2004 (18),"Rp434,54Jt.",PS Barito Putera
Harlan Suardi,Kiper,26 Jan 1999 (23),"Rp1,74Mlyr.",PSM Makassar
Rivki Mokodompit,Kiper,5 Des 1988 (34),"Rp1,30Mlyr.",PSM Makassar
Reza Arya Pratama,Kiper,18 Mei 2000 (22),"Rp1,30Mlyr.",PSM Makassar
Ardiansyah,Kiper,28 Mar 2003 (19),"Rp434,54Jt.",PSM Makassar
Yuran Fernandes,Bek-Tengah,19 Okt 1994 (28),"Rp3,04Mlyr.",PSM Makassar
Erwin Gutawa,Bek-Tengah,6 Jul 1992 (30),"Rp1,74Mlyr.",PSM Makassar
Agung Mannan,Bek-Tengah,6 Agt 1998 (24),"Rp1,30Mlyr.",PSM Makassar
Abdul Rahman,Bek-Tengah,14 Mei 1988 (34),"Rp434,54Jt.",PSM Makassar
Ibnul Mubarak,Bek-Tengah,14 Okt 2004 (18),"Rp434,54Jt.",PSM Makassar
Yance Sayuri,Bek-Kiri,22 Sep 1997 (25),"Rp2,61Mlyr.",PSM Makassar
Samuel Simanjuntak,Bek-Kiri,31 Jul 1999 (23),"Rp1,74Mlyr.",PSM Makassar
Edgard Amping,Bek-Kiri,9 Jun 2003 (19),"Rp1,30Mlyr.",PSM Makassar
Safrudin Tahar,Bek-Kanan,13 Des 1993 (29),"Rp2,61Mlyr.",PSM Makassar
Dallen Doke,Bek-Kanan,2 Jan 1998 (24),"Rp1,74Mlyr.",PSM Makassar
Mahdi Albaar,Bek-Kanan,27 Sep 1996 (26),"Rp1,30Mlyr.",PSM Makassar
Muhammad Arfan,Gel. Bertahan,22 Jan 1998 (24),"Rp3,48Mlyr.",PSM Makassar
Bryan Cesar,Gel. Bertahan,16 Mar 1993 (29),"Rp2,17Mlyr.",PSM Makassar
Akbar Tanjung,Gel. Bertahan,16 Mei 1993 (29),"Rp1,74Mlyr.",PSM Makassar
Ananda Raehan,Gel. Bertahan,17 Des 2003 (19),"Rp869,08Jt.",PSM Makassar
Rasyid Bakri,Gel. Tengah,17 Jan 1991 (31),"Rp2,61Mlyr.",PSM Makassar
Wiljan Pluim,Gel. Serang,4 Jan 1989 (33),"Rp5,65Mlyr.",PSM Makassar
Rafli Asrul,Gel. Serang,19 Feb 2003 (19),"Rp869,08Jt.",PSM Makassar
Kenzo Nambu,Sayap Kiri,22 Agt 1992 (30),"Rp2,61Mlyr.",PSM Makassar
Vivi Asrizal,Sayap Kiri,1 Mei 1995 (27),"Rp2,17Mlyr.",PSM Makassar
Dzaky Asraf,Sayap Kiri,6 Feb 2003 (19),"Rp869,08Jt.",PSM Makassar
Yakob Sayuri,Sayap Kanan,22 Sep 1997 (25),"Rp3,04Mlyr.",PSM Makassar
Rizky Eka Pratama,Sayap Kanan,24 Des 1999 (23),"Rp2,61Mlyr.",PSM Makassar
Victor Dethan,Sayap Kanan,11 Jul 2004 (18),"Rp434,54Jt.",PSM Makassar
Everton,Depan-Tengah,3 Jul 1993 (29),"Rp2,17Mlyr.",PSM Makassar
Donald Bissa,Depan-Tengah,13 Des 1991 (31),"Rp1,74Mlyr.",PSM Makassar
Ramadhan Sananta,Depan-Tengah,27 Nov 2002 (20),"Rp1,30Mlyr.",PSM Makassar
Ricky Pratama,Depan-Tengah,6 Mei 2003 (19),"Rp434,54Jt.",PSM Makassar
Mufli Hidayat,Depan-Tengah,7 Agt 2005 (17),,PSM Makassar
Miswar Saputra,Kiper,19 Apr 1996 (26),"Rp2,61Mlyr.",Madura United FC
Rendy Oscario,Kiper,7 Okt 1998 (24),"Rp2,17Mlyr.",Madura United FC
Fakhrurrazi Quba,Kiper,29 Sep 1989 (33),"Rp1,30Mlyr.",Madura United FC
Fawaid Ansory,Kiper,13 Sep 1999 (23),"Rp434,54Jt.",Madura United FC
Karisma Ramadhany,Kiper,7 Nov 2003 (19),"Rp173,82Jt.",Madura United FC
Cleberson,Bek-Tengah,17 Agt 1992 (30),"Rp5,21Mlyr.",Madura United FC
Fachruddin Aryanto,Bek-Tengah,19 Feb 1989 (33),"Rp3,48Mlyr.",Madura United FC
Kadek Raditya,Bek-Tengah,13 Jun 1999 (23),"Rp2,17Mlyr.",Madura United FC
Abanda Rahman,Bek-Tengah,24 Agt 1990 (32),"Rp869,08Jt.",Madura United FC
Reva Adi,Bek-Kiri,1 Sep 1996 (26),"Rp3,04Mlyr.",Madura United FC
Novan Sasongko,Bek-Kiri,26 Nov 1989 (33),"Rp1,30Mlyr.",Madura United FC
Fadillah Nur Rahman,Bek-Kiri,10 Feb 2002 (20),"Rp869,08Jt.",Madura United FC
Alexvan Djin,Bek-Kanan,31 Des 1998 (23),"Rp2,61Mlyr.",Madura United FC
Birrul Walidain,Bek-Kanan,14 Des 1995 (27),"Rp2,61Mlyr.",Madura United FC
Guntur Ariyadi,Bek-Kanan,16 Mar 1987 (35),"Rp434,54Jt.",Madura United FC
Ricki Ariansyah,Gel. Bertahan,10 Jun 1997 (25),"Rp2,61Mlyr.",Madura United FC
Zulfiandi,Gel. Bertahan,17 Jul 1995 (27),"Rp2,61Mlyr.",Madura United FC
Yu-jun Lee,Gel. Bertahan,26 Sep 1989 (33),"Rp1,30Mlyr.",Madura United FC
Feby Ramzy,Gel. Bertahan,4 Feb 2002 (20),"Rp173,82Jt.",Madura United FC
Jajá,Gel. Serang,18 Mar 1995 (27),"Rp6,95Mlyr.",Madura United FC
Kevy Syahertian,Gel. Serang,23 Jun 1999 (23),"Rp1,30Mlyr.",Madura United FC
Slamet Nurcahyono,Gel. Serang,11 Jul 1983 (39),"Rp434,54Jt.",Madura United FC
Lulinha,Sayap Kiri,10 Apr 1990 (32),"Rp4,35Mlyr.",Madura United FC
Rivaldi Bawuo,Sayap Kiri,13 Agt 1993 (29),"Rp2,17Mlyr.",Madura United FC
Haris Tuharea,Sayap Kiri,22 Nov 1994 (28),"Rp1,74Mlyr.",Madura United FC
Esteban Vizcarra,Sayap Kiri,11 Apr 1986 (36),"Rp869,08Jt.",Madura United FC
Ronaldo Kwateh,Sayap Kanan,19 Okt 2004 (18),"Rp3,04Mlyr.",Madura United FC
Malik Risaldi,Sayap Kanan,23 Okt 1996 (26),"Rp2,61Mlyr.",Madura United FC
Bayu Gatra,Sayap Kanan,12 Nov 1991 (31),"Rp1,74Mlyr.",Madura United FC
Pedro Henrique,Depan-Tengah,17 Jan 1992 (30),"Rp1,74Mlyr.",Madura United FC
Beto,Depan-Tengah,31 Des 1980 (41),"Rp434,54Jt.",Madura United FC
Make Aldo Maulidino,Depan-Tengah,22 Jul 1998 (24),"Rp434,54Jt.",Madura United FC
Adi Satryo,Kiper,7 Jul 2001 (21),"Rp2,61Mlyr.",Persik Kediri
Dikri Yusron,Kiper,8 Jan 1995 (27),"Rp1,74Mlyr.",Persik Kediri
Kartika Ajie,Kiper,20 Jun 1996 (26),"Rp1,74Mlyr.",Persik Kediri
Djiwa Herlando,Kiper,30 Mei 2004 (18),"Rp173,82Jt.",Persik Kediri
Arthur Silva,Bek-Tengah,20 Feb 1990 (32),"Rp3,91Mlyr.",Persik Kediri
Sabillah,Bek-Tengah,10 Mei 1994 (28),"Rp2,17Mlyr.",Persik Kediri
Mario Yagalo,Bek-Tengah,21 Apr 1993 (29),"Rp2,17Mlyr.",Persik Kediri
Fandry Imbiri,Bek-Tengah,5 Apr 1991 (31),"Rp1,30Mlyr.",Persik Kediri
Yusuf Meilana,Bek-Kiri,4 Mei 1998 (24),"Rp2,17Mlyr.",Persik Kediri
Dany Saputra,Bek-Kiri,1 Jan 1991 (31),"Rp1,74Mlyr.",Persik Kediri
Samsul Arifin,Bek-Kiri,3 Jan 1992 (30),"Rp1,74Mlyr.",Persik Kediri
Agil Munawar,Bek-Kanan,10 Jun 1996 (26),"Rp2,17Mlyr.",Persik Kediri
Muhammad Rifaldi,Bek-Kanan,3 Okt 1996 (26),"Rp1,74Mlyr.",Persik Kediri
Arthur Irawan,Gel. Bertahan,3 Mar 1993 (29),"Rp2,17Mlyr.",Persik Kediri
Muhammad Taufiq,Gel. Bertahan,29 Nov 1986 (36),"Rp434,54Jt.",Persik Kediri
Rohit Chand,Gel. Tengah,1 Mar 1992 (30),"Rp5,65Mlyr.",Persik Kediri
Adi Eko,Gel. Tengah,18 Jan 1994 (28),"Rp2,61Mlyr.",Persik Kediri
Fitra Ridwan,Gel. Tengah,16 Mar 1994 (28),"Rp1,74Mlyr.",Persik Kediri
Renan Silva,Gel. Serang,27 Jan 1989 (33),"Rp4,78Mlyr.",Persik Kediri
Bayu Otto,Gel. Serang,15 Okt 1999 (23),"Rp2,17Mlyr.",Persik Kediri
Rendy Juliansyah,Gel. Serang,27 Jul 2002 (20),"Rp434,54Jt.",Persik Kediri
Riyatno Abiyoso,Sayap Kiri,18 Jan 1999 (23),"Rp3,04Mlyr.",Persik Kediri
Yohanes Pahabol,Sayap Kiri,16 Jan 1992 (30),"Rp2,61Mlyr.",Persik Kediri
Rahel Radiansyah,Sayap Kiri,22 Mei 1991 (31),"Rp1,74Mlyr.",Persik Kediri
Faris Aditama,Sayap Kiri,19 Feb 1988 (34),"Rp869,08Jt.",Persik Kediri
Arsyad Yusgiantoro,Sayap Kanan,11 Jul 1996 (26),"Rp2,17Mlyr.",Persik Kediri
Muhammad Ridwan,Depan-Tengah,13 Jun 2000 (22),"Rp2,61Mlyr.",Persik Kediri
Joanderson,Depan-Tengah,16 Feb 1996 (26),"Rp2,61Mlyr.",Persik Kediri
Jeam Kelly Sroyer,Depan-Tengah,11 Des 2002 (20),"Rp1,74Mlyr.",Persik Kediri
Sutan Zico,Depan-Tengah,7 Apr 2002 (20),"Rp1,30Mlyr.",Persik Kediri
Hilmansyah,Kiper,25 Mei 1997 (25),"Rp3,04Mlyr.",RANS Nusantara FC
Wahyudi,Kiper,24 Agt 1998 (24),"Rp1,74Mlyr.",RANS Nusantara FC
Wawan Hendrawan,Kiper,8 Jan 1983 (39),"Rp434,54Jt.",RANS Nusantara FC
Fiqri Ntong,Kiper,27 Mei 2003 (19),"Rp173,82Jt.",RANS Nusantara FC
Victor Salinas,Bek-Tengah,20 Mar 1992 (30),"Rp4,35Mlyr.",RANS Nusantara FC
Arif Satria,Bek-Tengah,17 Sep 1995 (27),"Rp3,91Mlyr.",RANS Nusantara FC
Hamdan Zamzani,Bek-Tengah,21 Jul 1997 (25),"Rp1,30Mlyr.",RANS Nusantara FC
Herwin Saputra,Bek-Tengah,10 Jan 1991 (31),"Rp869,08Jt.",RANS Nusantara FC
O.K. John,Bek-Tengah,22 Jul 1983 (39),"Rp434,54Jt.",RANS Nusantara FC
Meru Kimura,Bek-Tengah,27 Jun 2001 (21),"Rp434,54Jt.",RANS Nusantara FC
Edo Febriansyah,Bek-Kiri,25 Jul 1997 (25),"Rp3,91Mlyr.",RANS Nusantara FC
Saddam Tenang,Bek-Kiri,2 Feb 1994 (28),"Rp1,30Mlyr.",RANS Nusantara FC
Ady Setiawan,Bek-Kanan,10 Sep 1994 (28),"Rp3,04Mlyr.",RANS Nusantara FC
Alfin Tuasalamony,Bek-Kanan,17 Mei 1993 (29),"Rp2,61Mlyr.",RANS Nusantara FC
Kurniawan Karman,Bek-Kanan,29 Mar 1991 (31),"Rp1,30Mlyr.",RANS Nusantara FC
Sandi Sute,Gel. Bertahan,21 Sep 1992 (30),"Rp2,17Mlyr.",RANS Nusantara FC
Fadilla Akbar,Gel. Bertahan,8 Sep 2001 (21),"Rp1,74Mlyr.",RANS Nusantara FC
Mitsuru Maruoka,Gel. Tengah,6 Jan 1996 (26),"Rp3,04Mlyr.",RANS Nusantara FC
Arthur Bonai,Gel. Tengah,3 Agt 1991 (31),"Rp2,17Mlyr.",RANS Nusantara FC
Gama Imbiri,Gel. Tengah,29 Okt 1997 (25),"Rp434,54Jt.",RANS Nusantara FC
Makan Konate,Gel. Serang,10 Nov 1991 (31),"Rp4,35Mlyr.",RANS Nusantara FC
Ikhsan Nul Zikrak,Gel. Serang,8 Nov 2002 (20),"Rp1,30Mlyr.",RANS Nusantara FC
Sumarna,Gel. Serang,1 Mar 1995 (27),"Rp434,54Jt.",RANS Nusantara FC
David Laly,Sayap Kiri,7 Nov 1991 (31),"Rp1,30Mlyr.",RANS Nusantara FC
Romadona,Sayap Kiri,5 Mar 2003 (19),,RANS Nusantara FC
Jujun Junaidi,Sayap Kanan,30 Des 1998 (23),"Rp1,74Mlyr.",RANS Nusantara FC
Defri Rizki,Sayap Kanan,10 Des 1988 (34),"Rp869,08Jt.",RANS Nusantara FC
Zidane Pattiiha,Sayap Kanan,26 Apr 2000 (22),"Rp173,82Jt.",RANS Nusantara FC
Wander Luiz,Depan-Tengah,17 Feb 1992 (30),"Rp4,35Mlyr.",RANS Nusantara FC
Septian Bagaskara,Depan-Tengah,26 Sep 1997 (25),"Rp2,61Mlyr.",RANS Nusantara FC
Syamsir Alam,Depan-Tengah,6 Jul 1992 (30),"Rp173,82Jt.",RANS Nusantara FC
Nadeo Argawinata,Kiper,9 Mar 1997 (25),"Rp4,78Mlyr.",Bali United FC
Muhammad Ridho,Kiper,21 Jan 1991 (31),"Rp2,61Mlyr.",Bali United FC
Rakasurya Handika,Kiper,13 Jun 2000 (22),"Rp869,08Jt.",Bali United FC
Komang Aryantara,Kiper,1 Apr 2005 (17),"Rp173,82Jt.",Bali United FC
Willian Pacheco,Bek-Tengah,28 Mar 1992 (30),"Rp5,65Mlyr.",Bali United FC
Haudi Abdillah,Bek-Tengah,20 Apr 1993 (29),"Rp2,61Mlyr.",Bali United FC
Komang Tri Arta,Bek-Tengah,30 Sep 2001 (21),"Rp1,30Mlyr.",Bali United FC
Jajang Mulyana,Bek-Tengah,23 Okt 1988 (34),"Rp1,30Mlyr.",Bali United FC
Gunawan Dwi Cahyo,Bek-Tengah,20 Apr 1989 (33),"Rp869,08Jt.",Bali United FC
Leonard Tupamahu,Bek-Tengah,9 Jul 1983 (39),"Rp434,54Jt.",Bali United FC
Ricky Fajrin,Bek-Kiri,6 Sep 1995 (27),"Rp4,78Mlyr.",Bali United FC
Gede Agus,Bek-Kiri,1 Jun 2002 (20),"Rp434,54Jt.",Bali United FC
Ardi Idrus,Bek-Kanan,22 Jan 1993 (29),"Rp3,48Mlyr.",Bali United FC
Made Andhika,Bek-Kanan,12 Jul 1996 (26),"Rp3,48Mlyr.",Bali United FC
Novri Setiawan,Bek-Kanan,11 Nov 1993 (29),"Rp2,61Mlyr.",Bali United FC
Brwa Nouri,Gel. Bertahan,23 Jan 1987 (35),"Rp6,52Mlyr.",Bali United FC
Ahmad Agung,Gel. Bertahan,9 Mar 1996 (26),"Rp2,61Mlyr.",Bali United FC
Hariono,Gel. Bertahan,2 Okt 1985 (37),"Rp869,08Jt.",Bali United FC
Made Tito,Gel. Bertahan,31 Jul 2003 (19),"Rp173,82Jt.",Bali United FC
Sidik Saimima,Gel. Tengah,4 Jun 1997 (25),"Rp2,61Mlyr.",Bali United FC
Rizky Pellu,Gel. Tengah,26 Jun 1992 (30),"Rp2,61Mlyr.",Bali United FC
Fadil Sausu,Gel. Tengah,19 Apr 1985 (37),"Rp869,08Jt.",Bali United FC
Éber Bessa,Gel. Serang,21 Mar 1992 (30),"Rp5,65Mlyr.",Bali United FC
Kadek Agung,Gel. Serang,25 Jun 1998 (24),"Rp3,48Mlyr.",Bali United FC
Ramdani Lestaluhu,Gel. Serang,5 Nov 1991 (31),"Rp1,74Mlyr.",Bali United FC
Yabes Roni,Sayap Kiri,6 Feb 1995 (27),"Rp2,61Mlyr.",Bali United FC
Rahmat,Sayap Kiri,28 Mei 1988 (34),"Rp1,74Mlyr.",Bali United FC
Privat Mbarga,Sayap Kanan,7 Jan 1992 (30),"Rp5,21Mlyr.",Bali United FC
Irfan Jaya,Sayap Kanan,1 Mei 1996 (26),"Rp4,35Mlyr.",Bali United FC
Hendra Bayauw,Sayap Kanan,23 Mar 1993 (29),"Rp1,74Mlyr.",Bali United FC
Ilija Spasojević,Depan-Tengah,11 Sep 1987 (35),"Rp5,65Mlyr.",Bali United FC
Lerby,Depan-Tengah,21 Nov 1991 (31),"Rp2,61Mlyr.",Bali United FC
Kadek Dimas,Depan-Tengah,24 Sep 2001 (21),"Rp434,54Jt.",Bali United FC
